New_Tree_ID,AGB,sun_NDVI,sun_ND800_680,sun_mND_705,sun_DD,sun_mSR_705,sun_DATT,sun_Chl_Rred_edge,sun_TBI_13,sun_TBI_24,sun_TBI_25
56,87.07503944,0.8127829972588367,0.7743285032617707,0.5299298810166976,0.059875411,3.2546843916717854,11.500964592340006,1.1173733533886772,0.6392034130305583,0.3721824522646562,0.6278175457075328
57,58.43941671,0.8521129683462172,0.8210888483508499,0.576029138953163,0.076557744,3.7173053195266683,10.617356126908739,1.2636222995200646,0.8147220196145992,0.34745866194928365,0.6525413357771678
58,50.13534971,0.869954682342342,0.8416998469612381,0.6208142720756235,0.08614799499999998,4.27446011430744,11.254169792027843,1.4502279000291307,0.6827250793334261,0.3506473413350164,0.6493526563669871
59,39.74733355,0.8529489900244849,0.819242774647008,0.5856720153719075,0.074871754,3.827093684653739,12.037282928903847,1.3217797112574576,0.5630169709324754,0.3827782084900619,0.617221789354287
60,76.02129961,0.8344792788175563,0.800893724029702,0.5679818793424368,0.074306665,3.6294354392952344,10.570128120147265,1.2286454799351727,0.8691385688427153,0.3411066688157505,0.6588933291539263
61,63.99937045,0.861987392254441,0.8352242054990938,0.5961038080570519,0.07882393099999999,3.9517674042545408,10.845391434599971,1.3660269799761067,0.7055257912257661,0.3598103705150938,0.6401896268423976
62,49.41193063,0.8521563770158346,0.8266746640330717,0.6101978050312463,0.092596557,4.130807429921124,9.599828663402885,1.3632638200200828,1.2002767202375513,0.2999810081540013,0.700018989136091
63,63.82430149,0.8622085312435245,0.8342300531929767,0.5896037383628014,0.082387016,3.873338734109206,9.92085942253587,1.2769540976330354,0.8919112467262197,0.3342419111982505,0.6657580864116336
64,32.21010303,0.8495470821365769,0.8197886301178322,0.5849049607363919,0.08807464200000002,3.8181736930622834,10.224079798945189,1.2624698704961754,0.8398917078148488,0.34055081314695895,0.6594491847837934
65,43.02858032,0.8633267549971709,0.8364823780086741,0.6191935783563524,0.09030225800000001,4.252012267290424,11.518132662615288,1.4614644501030534,0.8060277022006818,0.35726036000956435,0.6427396378710984
66,32.35254559,0.8548654853864702,0.819749090727498,0.5801725339943257,0.06519941799999998,3.7638617281366464,13.112832837641712,1.3330025293628927,0.5112301669255009,0.3846930589997285,0.6153069389702422
67,56.80205659,0.8564843743027967,0.8281145224349696,0.5791238354809312,0.07779868399999999,3.751991599357797,9.799964425024122,1.2738339869966504,1.043408733115315,0.32440389154326427,0.6755961060750773
68,41.47937683,0.8309846898246865,0.7952978692152233,0.5502887797897041,0.06340548199999999,3.4472984177519446,12.228381743525786,1.1904093159571008,0.5339644034318279,0.3702050253226679,0.6297949727366963
69,55.59174654,0.827309441744843,0.7911089137390119,0.5633384660164765,0.06976946700000002,3.5802065042194986,11.974000164563005,1.2474611844889454,0.6033043851628034,0.3750625344091224,0.6249374629564216
70,96.07161628,0.844729809608226,0.8148263446579318,0.5879198265263315,0.07642771999999999,3.8534244712555905,10.364064177127155,1.2970494657263698,0.6897976551660983,0.3563327300650975,0.6436672676201568
71,11.98401757,0.8446728313179815,0.8036966048112154,0.5498181978541912,0.047454668000000005,3.4426495872852514,15.088616546307877,1.2088324629569867,0.5009411412037633,0.38162393597155714,0.6183760619338486
72,38.28179859,0.8277871301946124,0.7927303420344497,0.564550910577357,0.06828140900000002,3.5929594218975853,12.988018833995664,1.2376994001668873,0.5910159662655842,0.3785485769082078,0.6214514211347553
73,30.88539642,0.8605242900307792,0.830474652477848,0.5923451663922101,0.083197393,3.906111330493027,10.896070292464561,1.3378532208455916,0.9713821863290677,0.328059138807904,0.6719408591597558
74,46.22901777,0.85982493519976,0.8323812164040881,0.599776893386374,0.08561743,3.9972127171013354,11.497427248964513,1.3493556364408388,0.5670291743304775,0.3684184112789917,0.6315815863308716
75,36.32284511,0.8366775763660292,0.8143566021770532,0.5679910899673991,0.073565621,3.629534140963567,9.818267147526635,1.216275681799678,1.2605109243748696,0.2803449239986701,0.7196550720188759
