New_Tree_ID,AGB,w_NDVI,w_ND800_680,w_mND_705,w_DD,w_mSR_705,w_DATT,w_Chl_Rred_edge,w_TBI_13,w_TBI_24,w_TBI_25
62,49.41193063,0.7706069902666872,0.7377957196168117,0.4825348350918824,0.16283565299999997,2.864994467773532,1.9888642315714669,0.8055524623529982,0.6491958885935714,0.36565624656754164,0.6343437519714686
63,63.82430149,0.7868694480425855,0.7500902154814347,0.45736083312219267,0.136509463,2.6856904583020755,1.8957523334382989,0.7513649423088349,0.5933825600765765,0.37610249116034666,0.6238975075688081
64,32.21010303,0.7925720656362448,0.7585091106430792,0.48895925335871837,0.183728711,2.9135822588887725,2.3070273050869687,0.8498525443893428,0.5680486981548181,0.377106255271377,0.6228937435889167
65,43.02858032,0.7972406061436138,0.762332832522895,0.5038385532011546,0.19632053900000002,3.0309460005525444,2.390637337354287,0.9098673637554295,0.45410021955367985,0.39881729716179426,0.6011827017872735
66,32.35254559,0.818203475989148,0.7707466231914699,0.4930858047480479,0.17214609900000008,2.9454409015993632,2.835183525942057,0.9572796000862915,0.3966995497690789,0.4046811769648439,0.5953188223925792
67,56.80205659,0.771022680963047,0.7338960854524013,0.4445965517179643,0.12863682799999998,2.600985924481543,1.834692092205508,0.7396297828432252,0.6312148356995243,0.3735608150591188,0.6264391835517875
68,41.47937683,0.7309908860134279,0.6873538796831907,0.40527833709637645,0.09505313599999995,2.362917688133538,2.0201077940594017,0.6708777759045772,0.38491360056693197,0.40184973756301917,0.5981502614134032
69,55.59174654,0.75459870381053,0.712743250350154,0.45636391078010324,0.14542339900000004,2.6789316222722332,2.268652892160911,0.7955837142517539,0.48217061191159033,0.3895563366554414,0.6104436621529764
70,96.07161628,0.7185327017797146,0.6772977307099258,0.4052496904314821,0.07313470500000008,2.3627557102973973,1.6869957140370486,0.6346408261484586,0.4435293031384155,0.394600341541007,0.6053996569262465
71,11.98401757,0.6598137586975257,0.5904296083890599,0.31984007835936473,-0.002556010000000025,1.9404849302495506,1.8109970431371665,0.5039650443759793,0.3495736037825202,0.41851818712142,0.5814818119447066
72,38.28179859,0.7713952401110997,0.7306357511753854,0.473189981411634,0.161776088,2.7964350127007065,2.5909795331806404,0.8415446409839582,0.4454191675650627,0.40225539992538667,0.5977445992258621
73,30.88539642,0.6717687021450737,0.6273377335521052,0.33711953675870177,-0.0039031230000000083,2.0171352312636683,1.4213790890660423,0.4929722215633945,0.5865618079828154,0.3776302017831766,0.622369795892635
74,46.22901777,0.812449171643966,0.7767886306580742,0.5032794385123823,0.189535791,3.026408718766059,2.877752772522605,0.9438798789538743,0.26939286635650156,0.41909258779131187,0.5809074113895407
75,36.32284511,0.7920214175539244,0.7575754332499255,0.47701475704820995,0.15318182399999997,2.824199681637683,2.2965786917242275,0.8521145182968151,0.5024172816456591,0.38620629130712425,0.6137937076421794
