New_Tree_ID,AGB,ave_a_NDVI,ave_a_ND800_680,ave_a_mND_705,ave_a_DD,ave_a_mSR_705,ave_a_DATT,ave_a_Chl_Rred_edge,ave_a_TBI_13,ave_a_TBI_24,ave_a_TBI_25
30,51.94978912,0.8155431507084958,0.7732128820010037,0.5191084145710171,0.046878196,3.1589415549483904,11.816810602588731,1.0336202563925996,1.021891250384641,0.3221579860428352,0.6778420125841631
31,79.02019367,0.8853353703190106,0.8588938718372671,0.609455663479207,0.06957015300000002,4.121057484429265,13.748161089108597,1.3884810344934984,0.4989153897652193,0.3907535525030284,0.6092464457113089
32,70.77411233,0.870130236809622,0.8368820726850699,0.5981354611713299,0.067338429,3.9768013953175294,14.592394531351188,1.3676773402739966,0.5529835726249244,0.38152372863004025,0.6184762698270998
33,36.87862221,0.8561899955125897,0.8251478942694236,0.5861025695411282,0.07719542199999999,3.8321150384836953,10.234971492573132,1.2501798579699162,0.7221870406982709,0.34646023890814454,0.6535397592977812
34,78.12089996,0.8268329528937631,0.7840822645280598,0.5454867951352458,0.05660646400000001,3.4003121944960224,14.157880770375405,1.1619977485127686,0.6823853891466143,0.3606628287522084,0.6393371697633314
35,90.32501245,0.8732689735606873,0.8455818730379842,0.6197638234614355,0.083966245,4.259888777646997,11.419989705603362,1.405496126566228,0.6684850644875477,0.3688318009810281,0.6311681968870346
36,59.18107363,0.8713421147118211,0.8421303658318391,0.5971637066871134,0.07687091000000001,3.9647959508004917,12.350128684000223,1.3261219478793538,0.6327844445038977,0.37684325520735307,0.6231567432111829
37,53.99643758,0.8631904509982907,0.8351835507446859,0.5950726449684562,0.07307233499999999,3.939157537719962,12.513025380971293,1.3203790739255297,0.6287785780190471,0.3672395446030792,0.6327604536105772
38,53.33566814,0.8275734222257343,0.7871131521212689,0.5444675829217039,0.05813539100000002,3.39046689772888,12.784796103732505,1.1248219457760125,0.5279057206432886,0.39196855864935265,0.6080314396768098
39,40.54604196,0.8613926405961716,0.8211945774897033,0.5952042467756778,0.05943249300000001,3.9407632894700626,17.8062827506732,1.3775043429980594,0.5582776446104342,0.38713254554671883,0.6128674528521446
40,37.8242169,0.795956424807398,0.7512061470479533,0.5138557545069232,0.05243692999999999,3.1140052910665617,12.476270914087317,1.046844093133783,0.5670274300153412,0.37363210141874675,0.6263678971103754
41,51.0628713,0.9195665358876467,0.885340283771692,0.629954979443531,0.050605019000000015,4.404747760391749,21.66295671635119,1.5328084521664866,0.35250269612825497,0.41740028241959737,0.5825997156256252
42,39.5140975,0.8596308771772367,0.8282657874592976,0.5870303740580827,0.072699501,3.842971183030128,12.597564342404029,1.2975552875864378,0.6944749558900033,0.35627349240428074,0.6437265058469129
43,39.74733355,0.835022979204963,0.793691847832378,0.5740965308473444,0.064200795,3.6958997580159934,15.352984983417238,1.3063717926049225,0.6205414898350432,0.3710645484968552,0.6289354499684843
44,56.4556332,0.8713342810982663,0.8359322817792187,0.5947772724112115,0.06470579800000001,3.935557315546931,14.09204425143709,1.3268873826437417,0.6266125879283239,0.3751505508522808,0.6248494475497206
45,25.02701878,0.8109871645127027,0.7691894487280946,0.5163394929169637,0.049809248000000014,3.1351319135566706,11.564366349747926,1.0317016904153915,0.7235003100917015,0.3556240817468595,0.6443759165792696
46,109.6186072,0.8596043603567887,0.8282017564541903,0.5844140326675661,0.07327620900000001,3.8124820258875816,10.948175245452317,1.2574483571728967,0.6449984636185956,0.3713714152199131,0.6286285829317095
47,50.67342485,0.8436050107862917,0.8125797257353308,0.556541856160105,0.07247220900000001,3.5100085004399637,9.596774266554494,1.1484694076331299,0.7884160772531282,0.3479036027337677,0.6520963952990916
48,32.94406348,0.8673140997120992,0.8337492408652598,0.5941464808917127,0.06720808000000002,3.9278863024722033,14.690978685589327,1.3528989133022136,0.5686969863777009,0.37979359835710486,0.6202064001119914
49,44.35949173,0.8793541554208933,0.8436467948678815,0.5998038233859609,0.06240362799999999,3.9975489879283703,13.952086130147082,1.3622423832216288,0.5793291355824075,0.3829494576734614,0.6170505406824122
50,58.70245845,0.8927225510481266,0.8603260728515884,0.606737768208719,0.060592338,4.085665074163888,14.802819077966657,1.382317224675373,0.435903867363354,0.39882785899481393,0.6011721392208565
51,51.30043059,0.8855279364229919,0.8567161779280189,0.6143710608198663,0.076834598,4.18633275291385,11.272161722382858,1.3705506648903896,0.6488740176016412,0.365906552387322,0.6340934454751841
52,23.63660996,0.9039440802543112,0.8636056162576394,0.6164219369189841,0.04703406499999999,4.2140625039197595,25.03829988766687,1.508636203192256,0.36928468728379055,0.40925606800060516,0.5907439301341131
53,52.38459929,0.8594972043461683,0.8287950439974894,0.5773698409605202,0.070930433,3.732269941629394,10.463662281352521,1.2577722440614236,0.5769545532192913,0.38953091849497273,0.6104690796459408
54,80.10569871,0.8245577598122117,0.7872964267464573,0.5552556947011758,0.068600183,3.49696595180927,11.696984772628568,1.1738939440807559,0.6925832329487648,0.3606619613777798,0.6393380371342254
55,30.92496356,0.8732679601956777,0.8386964820011514,0.607694772251933,0.07198703099999999,4.098071236762729,13.829196870443317,1.390269734576882,0.43052234087692637,0.4075649134079801,0.5924350849448307
56,87.07503944,0.8279650555159341,0.7805530826837652,0.5300424799201225,0.04510199799999999,3.2557037863713156,15.824564850070317,1.1500234729237513,0.48955338798215847,0.3935843710810502,0.6064156269525833
57,58.43941671,0.8812525429173422,0.8406822563248868,0.5859419721690338,0.051914975999999995,3.8302408422577274,16.977096616848602,1.3398403068520284,0.5548119310808479,0.3860286730595477,0.6139713249903596
58,50.13534971,0.8657549057182027,0.8288226123426474,0.5989873941408141,0.06308851000000001,3.9873743824199566,14.142529801677448,1.34277388526082,0.6125776333582311,0.3699597852252291,0.630040213032255
59,39.74733355,0.8613657110554311,0.8218554583193659,0.574469819226975,0.060585669999999994,3.7000191479990807,14.063051559283444,1.2861498228050587,0.4258345389087359,0.40084352418505775,0.5991564740248854
60,76.02129961,0.848766710810566,0.804472344044547,0.5600354140298084,0.05092628800000001,3.545820416574357,15.799384160276256,1.2254693697992192,0.5053656715953366,0.397183978900564,0.6028160193593946
61,63.99937045,0.8674926417809944,0.8303180881781,0.5826820021036029,0.055632727000000014,3.792508368689077,15.76640582703278,1.3472068285774972,0.5098896203138689,0.3920590403065555,0.6079409575618907
62,49.41193063,0.8523311184504779,0.8228324841000451,0.6005966671960687,0.08066115300000001,4.007469476947146,10.560222904602654,1.3096382149221317,0.7775567783002859,0.35202535591501527,0.6479746421668791
63,63.82430149,0.8606589009431496,0.8294173709627967,0.579635327043801,0.07323159,3.757773730212121,10.458266241705699,1.2288275754902744,0.7498495463072165,0.3567204511811242,0.6432795468368824
64,32.21010303,0.8639994564179669,0.8326243400853383,0.588459052119853,0.07942674200000001,3.8597837187221087,11.135048204020386,1.2787021095383033,0.5983076245955475,0.3715352394018858,0.6284647588966822
65,43.02858032,0.8761740953049015,0.8426882386357567,0.61729713166099,0.06927401000000001,4.2259864318062625,15.62847961496989,1.4637206951706876,0.44998763147457427,0.40448399358087406,0.5955160046900051
66,32.35254559,0.8673979982327128,0.8232810861752978,0.5702827806201483,0.050968966,3.6542235383810167,16.498062790838492,1.2918297891807917,0.4990063391590452,0.38659748473982797,0.6134025135430324
67,56.80205659,0.8583860973508581,0.8253837518625987,0.56911664796856,0.06498904,3.641627457936863,11.271139706831224,1.2401248959515012,0.811474542330078,0.35177487367910915,0.6482251243172452
68,41.47937683,0.844811155637497,0.8035089701204108,0.5422052710404068,0.050022132000000004,3.3687702614319774,14.854172387533525,1.1827635342521767,0.4243813591946287,0.39586296907778595,0.6041370293250322
69,55.59174654,0.8322739915510176,0.7946350767036727,0.5599395779783239,0.067347404,3.544830432450513,11.560239036685951,1.206611643966268,0.653099763860137,0.36331130057404903,0.636688697318789
70,96.07161628,0.8531244565685296,0.815621299593621,0.5816554585631369,0.05894427000000001,3.780748401112983,13.486554109792841,1.2715774100710124,0.5033820185292059,0.3829978270006575,0.6170021711199803
71,11.98401757,0.8956223117211309,0.829027561422373,0.5491302659601287,0.02487694000000001,3.4358710377989814,39.9398496109176,1.2919416085550952,0.29326470637888913,0.4295469499797387,0.570453047801299
72,38.28179859,0.8376775713605635,0.8008528487335029,0.5682469881183414,0.06662196900000002,3.6322780453985843,12.87431658430318,1.2267478022781577,0.683224687497993,0.37250587840808824,0.6274941198592365
73,30.88539642,0.8746350591760272,0.8372349591135785,0.581284570926866,0.060102759000000006,3.776513733960805,13.93089291972208,1.2979676115811571,0.5909518396722139,0.3815182195130502,0.6184817788412665
74,46.22901777,0.8616225816140172,0.8273552909654394,0.5805461957427291,0.059482840000000016,3.768105515359533,15.856862425667854,1.295579906885493,0.2795551656219096,0.4149273925187932,0.5850726056394602
75,36.32284511,0.8467162835906112,0.8180764410056544,0.5693910052920569,0.06086312000000001,3.6445848145242805,12.12707029996156,1.2192657583910793,0.775881855462898,0.34194640106394136,0.6580535963174069
