New_Tree_ID,AGB,sun_b_NDVI,sun_b_ND800_680,sun_b_mND_705,sun_b_DD,sun_b_mSR_705,sun_b_DATT,sun_b_Chl_Rred_edge,sun_b_TBI_13,sun_b_TBI_24,sun_b_TBI_25
42,39.5140975,0.8711373867145061,0.8450450606348469,0.6130237687018044,0.08834873399999998,4.1682760754016,11.071132764139865,1.4228031872229532,1.3352659248529901,0.29402724224388055,0.7059727550788348
43,39.74733355,0.8327859607733202,0.7981175806892067,0.5863610136852021,0.07344405799999999,3.8351341725134263,14.423330829258239,1.3985357947417847,0.6561192819820626,0.36482286383401785,0.6351771339089232
44,56.4556332,0.8763311372347542,0.8511636506711899,0.6138089958219034,0.08361152900000002,4.178784529434406,11.242169621000798,1.44941672834607,0.7699441241634792,0.33386375052367473,0.6661362467233853
45,25.02701878,0.8098009935573516,0.7741453746015236,0.5254001347313281,0.05925464500000001,3.214076203228173,10.72207198558642,1.060351162644634,0.8032989265955816,0.3528511284830186,0.6471488695013604
46,109.6186072,0.8536511857140506,0.8279175484189065,0.5920045401182972,0.08709086899999999,3.9020153282580528,9.893391819423176,1.3070640852234643,1.3319627824598195,0.2824889493839679,0.7175110479158089
47,50.67342485,0.8539512230627455,0.828001127217436,0.5871792762063838,0.07875159500000001,3.844718016102463,11.65436914373954,1.3409223182284808,1.8054977779530834,0.2586500910694311,0.7413499040525505
48,32.94406348,0.8778826646878855,0.8517380687390035,0.6296100517950621,0.086426904,4.399714563946919,13.560517596098773,1.5231824583191806,1.1634412801875782,0.30321520284369036,0.6967847949541124
49,44.35949173,0.8643192041454967,0.8376424329823168,0.6058131867130939,0.08399986599999998,4.0737364380487575,10.81376761802326,1.374950693511142,1.1023923027396005,0.3148670105485528,0.6851329865315967
50,58.70245845,0.8931032763502652,0.8756623826949065,0.6319927207311317,0.100070783,4.4346751020947,9.097651258719566,1.4717493043004222,1.5947007191436684,0.26558470191323585,0.7344152947944241
51,51.30043059,0.8862812074969739,0.8639425999918696,0.6282108574895341,0.10297530200000002,4.379393235140002,8.992464054190503,1.4541591931365319,0.8376748782743634,0.3498538248203643,0.6501461716271114
52,23.63660996,0.8752400919607245,0.8487978209806097,0.6275055357209799,0.09210328599999999,4.369207302817363,11.019927027443245,1.4779880332488813,0.9189992166245192,0.3245190679009962,0.675480929841693
53,52.38459929,0.8751424869150911,0.8481092917082352,0.6050587825987344,0.08221768900000001,4.064044748565401,10.073127216440511,1.3715465509783713,0.6387780649132521,0.37412653953945807,0.6258734572962786
54,80.10569871,0.8558313686587351,0.8234859103949099,0.6046634537950544,0.07838224399999999,4.058980802602387,12.760836867786768,1.3896368316377656,0.9252411110404388,0.3318651718312238,0.6681348259162012
55,30.92496356,0.8819074696881244,0.8557152048058358,0.6280046234610471,0.09342134900000001,4.376410901964683,11.117330089039227,1.4966438480485915,0.8510984289800765,0.35768552579822105,0.6423144712763809
56,87.07503944,0.8126500601416321,0.7741386063831949,0.5227651400160693,0.05864940099999999,3.1908086897812806,11.305684810625444,1.089328457125852,0.7248311818219139,0.3604709419397374,0.6395290560473705
